Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
04.10.2023 14:45:00;04.10.2023 14:59:59;0,072;;;
04.10.2023 15:00:00;04.10.2023 15:14:59;0,004;;;
04.10.2023 15:15:00;04.10.2023 15:29:59;0;;;
04.10.2023 15:30:00;04.10.2023 15:44:59;0,087;;;
04.10.2023 15:45:00;04.10.2023 15:59:59;0,124;;;
04.10.2023 16:00:00;04.10.2023 16:14:59;0,328;;;
04.10.2023 16:15:00;04.10.2023 16:29:59;0,174;;;
04.10.2023 16:30:00;04.10.2023 16:44:59;0,065;;;
04.10.2023 16:45:00;04.10.2023 16:59:59;0,345;;;
04.10.2023 17:00:00;04.10.2023 17:14:59;0,251;;;
04.10.2023 17:15:00;04.10.2023 17:29:59;0,116;;;
04.10.2023 17:30:00;04.10.2023 17:44:59;0,232;;;
04.10.2023 17:45:00;04.10.2023 17:59:59;0,35;;;
04.10.2023 18:00:00;04.10.2023 18:14:59;0,203;;;
04.10.2023 18:15:00;04.10.2023 18:29:59;0,042;;;
04.10.2023 18:30:00;04.10.2023 18:44:59;0,005;;;
04.10.2023 18:45:00;04.10.2023 18:59:59;0;;;
04.10.2023 19:00:00;04.10.2023 19:14:59;0,001;;;
